province,fi_marginal_pct,fi_moderate_pct,fi_severe_pct
Alberta,7.2,12.7,8.2
British Columbia,6.4,9.9,5.8
Canada,6.0,11.0,6.1
Manitoba,7.2,11.7,7.4
New Brunswick,6.2,11.1,8.0
Newfoundland and Labrador,6.2,11.0,8.8
Nova Scotia,6.1,15.2,7.4
Ontario,5.9,11.9,6.8
Prince Edward Island,7.7,16.5,5.9
Quebec,5.0,8.0,2.9
Saskatchewan,7.9,13.2,7.0
